title,game_name,game_alias,game_image_url,game_web_link,review_score,profile_dev,profile_platforms,release_world,main_story,main_extra,completionist,all_styles,
"vortex: the gateway","Vortex: The Gateway","","https://howlongtobeat.com/games/35773_Vortex_The_Gateway.jpg","https://howlongtobeat.com/game/35773","0","StormCube Games","['PC']","2016","0.0","0.0","35.5","35.5",
"the sunken city","The Myth Seekers 2: The Sunken City","","https://howlongtobeat.com/games/78088_The_Myth_Seekers_2_The_Sunken_City.jpg","https://howlongtobeat.com/game/78088","68","Sunward Games","['PC']","2019","3.07","3.44","3.59","3.43",
"zone of enders 2","Zone of the Enders: The 2nd Runner MARS","Anubis: Zone of the Enders MARS","https://howlongtobeat.com/games/57582_Zone_of_the_Enders_The_2nd_Runner_MARS.jpg","https://howlongtobeat.com/game/57582","75","Konami Digital Entertainment, Cygames","['PC', 'PlayStation 4', 'PlayStation VR']","2018","5.95","7.02","12.07","6.83",
"slain!",,,,,,,,,,,,,
"forced showdown","Forced Showdown","Forced: Eternal Arenas","https://howlongtobeat.com/games/31993_FORCED_Eternal_Arenas.jpg","https://howlongtobeat.com/game/31993","70","BetaDwarf","['PC']","2016","13.0","0.0","0.0","13.0",
"epistory - the typing chronicles",,,,,,,,,,,,,
"quar: the battle for gate 18",,,,,,,,,,,,,
"endless legend series",,,,,,,,,,,,,
"dragon age series",,,,,,,,,,,,,
"sunless sea","Sunless Sea","","https://howlongtobeat.com/games/Sunless_Sea_header.jpg","https://howlongtobeat.com/game/23113","71","Failbetter Games","['Nintendo Switch', 'PC']","2014","17.59","57.08","117.31","51.95",
"sunless skies","Sunless Skies","","https://howlongtobeat.com/games/48602_Sunless_Skies.jpg","https://howlongtobeat.com/game/48602","75","Failbetter Games","['Nintendo Switch', 'PC', 'PlayStation 4', 'Xbox One']","2017","28.93","67.86","105.98","57.44",
"x:rebirth",,,,,,,,,,,,,
"stellaris","Stellaris","","https://howlongtobeat.com/games/37186_Stellaris.jpg","https://howlongtobeat.com/game/37186","80","Paradox Interactive","['PC', 'PlayStation 4', 'Xbox One']","2016","29.5","59.38","286.07","72.51",
"clive barker's jericho","Clive Barker's Jericho","","https://howlongtobeat.com/games/256px-Clive_Barker_Jericho_Cover.jpg","https://howlongtobeat.com/game/1751","64","MercurySteam","['PC', 'PlayStation 3', 'Xbox 360']","2007","7.14","9.07","10.21","8.03",
"cryostasis","Cryostasis: Sleep of Reason","","https://howlongtobeat.com/games/Cryostatis_Sleep_of_Reason.jpg","https://howlongtobeat.com/game/2065","69","Action Forms","['PC']","2009","8.43","8.63","9.2","8.56",
"dead effect series",,,,,,,,,,,,,
"patholigic",,,,,,,,,,,,,
"medusa's labynrth",,,,,,,,,,,,,
"doom4",,,,,,,,,,,,,
"control","Control","","https://howlongtobeat.com/games/57507_Control.jpg","https://howlongtobeat.com/game/57507","80","Remedy Entertainment","['PC', 'PlayStation 4', 'Xbox One']","2019","11.61","18.71","28.22","17.59",
"blairewitch",,,,,,,,,,,,,
"until dawn","Until Dawn","","https://howlongtobeat.com/games/21924_Until_Dawn.jpg","https://howlongtobeat.com/game/21924","78","Supermassive Games","['PlayStation 4']","2015","8.02","9.4","18.42","9.15",
"bad north","Bad North","","https://howlongtobeat.com/games/55056_Bad_North.jpg","https://howlongtobeat.com/game/55056","71","Plausible Concept","['Mobile', 'Nintendo Switch', 'PC', 'PlayStation 4', 'Xbox One']","2018","5.9","9.28","20.88","8.04",
"homefront: the revolution","Homefront: The Revolution","","https://howlongtobeat.com/games/Homefront,_The_Revolution_logo.jpg","https://howlongtobeat.com/game/21276","60","Deep Silver Dambuster","['PC', 'PlayStation 4', 'Xbox One']","2016","12.06","19.05","31.31","16.76",
"metro 2 and 3",,,,,,,,,,,,,
"deus ex","Deus Ex","Deus Ex: Game of the Year Edition, Deus Ex: The Conspiracy","https://howlongtobeat.com/games/250px-Dxcover.jpg","https://howlongtobeat.com/game/2486","89","Ion Storm","['PC', 'PlayStation 2']","2000","22.94","28.69","39.04","27.99",
"grow home and sequel",,,,,,,,,,,,,
"psychonauts","Psychonauts","","https://howlongtobeat.com/games/Psychonautsbox.png","https://howlongtobeat.com/game/7372","82","Double Fine Productions, Budcat Creations","['Linux', 'Mac', 'PC', 'PlayStation 2', 'PlayStation 4', 'Xbox']","2005","11.99","15.29","21.2","14.73",
"the saboteur","The Saboteur","","https://howlongtobeat.com/games/256px-Official_Saboteur_Game_Cover_Art.JPG","https://howlongtobeat.com/game/10157","74","Pandemic Studios","['PC', 'PlayStation 3', 'Xbox 360']","2009","10.95","19.12","41.63","19.74",
"observation game",,,,,,,,,,,,,
